# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jun 13 15:30:11 2019
#
# User preference: *
#
# CONSTRAINT:  where (koi_disposition like 'CAN%')
# CONSTRAINT:  order by koi_disposition asc
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux]
# COLUMN koi_insol_err2: Insolation Flux Lower Unc. [Earth flux]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN koi_slogg_err2: Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
10811496,K00753.01,,CANDIDATE,CANDIDATE,0.0000,19.899139950,1.4940000e-05,-1.4940000e-05,175.8502520,5.810000e-04,-5.810000e-04,0.9690,5.1260,-0.0770,1.78220,0.03410,-0.03410,1.0829e+04,1.710e+02,-1.710e+02,14.60,3.920e+00,-1.310e+00,638.0,,,39.30,31.04,-10.49,76.30,1,q1_q17_dr25_tce,5853.00,158.00,-176.00,4.544,0.044,-0.176,0.8680,0.2330,-0.0780,297.004820,48.134129,15.436
11138155,K00760.01,,CANDIDATE,CANDIDATE,1.0000,4.959319244,5.1500000e-07,-5.1500000e-07,172.2585292,8.270000e-05,-8.270000e-05,0.8310,0.0160,-0.0040,2.22739,0.00750,-0.00750,9.8020e+03,2.000e+01,-2.000e+01,12.21,1.960e+00,-1.460e+00,1103.0,,,349.40,146.52,-93.21,696.50,1,q1_q17_dr25_tce,5712.00,77.00,-77.00,4.359,0.110,-0.110,1.0820,0.1730,-0.1300,292.167050,48.727589,15.263
11818800,K00777.01,,CANDIDATE,CANDIDATE,0.9990,40.419503700,1.1390000e-04,-1.1390000e-04,173.5646900,2.220000e-03,-2.220000e-03,0.9110,5.5670,-0.1180,3.36200,0.14000,-0.14000,6.2560e+03,2.300e+02,-2.300e+02,7.51,1.120e+00,-9.100e-01,467.0,,,11.29,5.67,-3.57,36.90,1,q1_q17_dr25_tce,5446.00,179.00,-163.00,4.507,0.116,-0.105,0.7810,0.1160,-0.0950,294.316860,50.080231,15.487
11918099,K00780.02,,CANDIDATE,CANDIDATE,0.9930,7.240661200,1.6170000e-05,-1.6170000e-05,137.7554500,2.000000e-03,-2.000000e-03,1.1980,49.8500,-0.2580,0.55800,0.17100,-0.17100,5.5640e+02,4.410e+01,-4.410e+01,19.45,1.400e+00,-7.100e-01,734.0,,,68.63,15.32,-8.86,13.70,2,q1_q17_dr25_tce,5005.00,79.00,-79.00,4.595,0.012,-0.064,0.7650,0.0550,-0.0280,293.833310,50.230350,15.334
9579641,K00115.03,,CANDIDATE,CANDIDATE,0.8710,3.435916310,4.7290000e-05,-4.7290000e-05,132.6624000,1.100000e-02,-1.100000e-02,0.6240,0.0370,-0.4760,3.13300,0.40700,-0.40700,2.3200e+01,3.400e+00,-3.400e+00,0.55,8.000e-02,-7.000e-02,1272.0,,,617.61,251.11,-186.88,8.70,3,q1_q17_dr25_tce,5779.00,104.00,-115.00,4.339,0.132,-0.108,1.0870,0.1570,-0.1420,287.887330,46.276241,12.791
3115833,K00797.01,,CANDIDATE,CANDIDATE,1.0000,10.181584004,6.1880000e-06,-6.1880000e-06,177.1418910,4.830000e-04,-4.830000e-04,0.9200,0.0070,-0.0050,3.50890,0.03310,-0.03310,5.7411e+03,5.320e+01,-5.320e+01,7.73,2.170e+00,-7.200e-01,812.0,,,102.91,86.75,-28.91,183.60,1,q1_q17_dr25_tce,5988.00,179.00,-197.00,4.541,0.048,-0.192,0.8360,0.2340,-0.0780,291.281950,38.241669,15.657
3453214,K00802.01,,CANDIDATE,CANDIDATE,1.0000,19.620346923,3.7300000e-06,-3.7300000e-06,181.8818190,1.480000e-04,-1.480000e-04,0.4580,0.0800,-0.1650,2.00380,0.02920,-0.02920,2.1725e+04,8.500e+01,-8.500e+01,13.60,1.820e+00,-9.200e-01,643.0,,,40.39,14.34,-7.31,340.50,1,q1_q17_dr25_tce,5710.00,76.00,-85.00,4.492,0.048,-0.112,0.9050,0.1210,-0.0610,293.816190,38.563568,15.562
3641726,K00804.01,,CANDIDATE,CANDIDATE,1.0000,9.029306890,1.6480000e-05,-1.6480000e-05,177.2042200,1.420000e-03,-1.420000e-03,0.0240,0.4010,-0.0240,3.14490,0.05280,-0.05280,1.0198e+03,2.190e+01,-2.190e+01,2.57,4.400e-01,-2.600e-01,757.0,,,77.75,43.01,-22.28,53.90,1,q1_q17_dr25_tce,5349.00,167.00,-167.00,4.526,0.063,-0.108,0.8200,0.1410,-0.0820,290.333620,38.728230,15.387
3940418,K00810.01,,CANDIDATE,CANDIDATE,1.0000,4.783002698,5.4320000e-06,-5.4320000e-06,170.5084340,9.430000e-04,-9.430000e-04,0.0030,0.4250,-0.0030,2.33500,0.03320,-0.03320,1.0087e+03,1.660e+01,-1.660e+01,2.50,3.400e-01,-1.900e-01,886.0,,,145.48,66.39,-35.12,70.60,1,q1_q17_dr25_tce,5170.00,155.00,-155.00,4.574,0.026,-0.097,0.8070,0.1110,-0.0600,287.093990,39.060719,15.119
4544670,K00815.01,,CANDIDATE,CANDIDATE,1.0000,34.843986440,4.0360000e-05,-4.0360000e-05,172.6332520,9.400000e-04,-9.400000e-04,0.9340,0.5750,-0.0310,2.93150,0.07020,-0.07020,4.5236e+03,8.250e+01,-8.250e+01,7.61,1.720e+00,-9.100e-01,511.0,,,16.10,11.10,-5.08,76.80,1,q1_q17_dr25_tce,5509.00,166.00,-166.00,4.482,0.081,-0.150,0.8710,0.1960,-0.1050,285.920010,39.624828,15.684
